"","perl_best_thing","perl_frustrates_most","describe_perl"
"4534","ease of use","sometimes there are too many ways to do something","great scripting language"
"4535","CPAN","Package inconsistencies",""
"4536","","",""
"4537","flexibility power and community","The lack, until recently, of a regular consistent release schedule","work camel"
"4538","","",""
"4539","","",""
"4540","Long history.","Unclear and not regulary things such as delete $arr[1] undefs an element instead of removing it.","Best if you like languages."
"4541","","",""
"4542","","",""
"4543","Community and culture, CPAN, Advances in Perl 6, Ressources, Developpers very reachable and approachable","Bad reputation, repl loop and default debugger could be much improved, Only one implementation of Perl 5, lack of modern IDE support (refactoring)","Great language"
"4544","The community. Ease of getting started. It was the first language I used to get something useful done.","It's easy to forget for me if I don't use it fairly regularly. For example, the context rules and the special characters.","Perl is fun!"
"4545","Text Processing and Regex.","No famous Frameworks",""
"4546","","",""
"4547","","",""
"4548","","",""
"4549","","",""
"4550","","",""
"4551","It's everywhere","It's just not elegant.","messy, dated, hack, deprecated"
"4552","","",""
"4553","Very quickly accomplish certain tasks is a straightforward manner.","Too many ways to do one thing makes it difficult to mentally parse perl code.  The number of obtuse variables and operators also makes it difficult for non-experts to read code.",""
"4554","easy to understand and  lot of ready made code available on CPAN!","slow interpreter",""
"4555","","",""
"4556","","",""
"4557","grep, map, foreach","Moose is not builtin","fast, concise, clear, ubiquitous, capable"
"4558","","",""
"4559","","",""
"4560","flexibility","no private variables in objects",""
"4561","","",""
"4562","cpan and community","lack of new people / lack of open source killer apps","flexible, powerfull, documented,  community, "
"4563","","",""
"4564","write less","sublanguages",""
"4565","There is no best thing. It's like asking what the best thing about a disease is.","It's a crappy language.","Confused and confusing."
"4566","","",""
"4567","hashes","No easy-to-use WYSIWYG GUI editor.","Swiss-army chainsaw"
"4568","","",""
"4569","flexibility and CPAN.","nothing","problems solving and very useful "
"4570","It doesn't get in my way.  When I want to get work done, Perl gives me all of the necessary tools -- imperative, OO, and functional, to boot -- I require and none of the restrictions I don't.  Also, don't forget about CPAN.","There's a lot of inertia now that Ruby has taken the stranglehold on most of the space that Perl used to occupy, and people in the industry have reverted to saying that Perl is strictly a line noise language and something for system administrators to use.","Swiss-army chainsaw"
"4571","","","line noise"
"4572","","",""
"4573","Flexibility and glue functionality","the lack of a *standard* GUI. e.g. It should be easy to combine java projects with perl modules, so one can add functionality to java.","One-second omni-glue"
"4574","Perl sucks...","Perl really sucks...","Perl really really sucks..."
"4575","Its debugger.","Its debugger.","cryptic yet powerful"
"4576","","",""
"4577","the language![CR]i like, how you can, from the standpoint of languages, actually 'speak' perl. i mean this in the sense that the syntax is so open (vs. strictly defined c/c++ for example) that it is possible to talk/speak perl just like a natural language: TIMTOWDI in this sense means to me that you can say the same thing in many ways. $_ is like an ellipsis in natural language. it's just beautiful (and fun, for someone who likes to talk much).","that wicked community ;)","perl can almost be spoken like a natural language "
"4578","flexibility","installing CPAN modules","flexible, text processing, web programming"
"4579","Modern Perl, ie Moose, Plack, Dizt::Zilla, KiokuDB etc","that only perl can parse Perl","the fast and the furious"
"4580","... it's flexibility, modularity and stability.","... it's sparse documentation of the internals.","swiss army programming chainsaw"
"4581","fast scripting, very many modules,","","easy, handy,  expandable"
"4582","Moose and the CPAN","Threading",""
"4583","CPAN","It seems to have a bad reputation that has hindered more wide-spread adoption.","mature dynamic scripting language"
"4584","","",""
"4585","","",""
"4586","","",""
"4587","","",""
"4588","","",""
"4589","Ability for Text modification","Camel Book It's hard to follow",""
"4590","Regular expressions","Readability","Write Once/Decipher Often"
"4591","that it gets shit done fast.","the lack of OO features, and the hassle to implement OO one has to go through in Perl5.","again: it gets shit done fast"
"4592","CPAN","The pre-conception of it being a dying language","powerful, flexible, fast development, fun"
"4593","","",""
"4594","","",""
"4595","","",""
"4596","It's fast to write quick utility scripts.","It doesn't lend itself well to readability.","Fast, Quick, Dirty"
"4597","the CPAN","no frustration here",""
"4598","the community - in particular CPAN","efficiency for different data structures doesn't seem to be well documented; this information must currently be determined through experience and intuition; not good for newcomers.","easy and fun to use"
"4599","its popularity ","inconsistent syntax, while most of the time its an advantage having 150 ways to do the same thing makes coding with a large team on a decade's worth of code a headache to maintain and debug","dynamic accessible low-barrier-to-entry"
"4600","","",""
"4601","","",""
"4602","solve the problem","can't install the cpan module","best programming tool ever used."
"4603","","",""
"4604","CPAN","","essential bat-utility-belt"
"4605","Perl gets the job done.","Some syntactic overkill like the syntax for dereffing of complex datastructures (like hash slice deref etc.)","Perl gets the job done."
"4606","CPAN","Too many duplicate modules on CPAN!","Works without hassle."
"4607","","",""
"4608","CPAN","","flexible featurerich"
"4609","CPAN","Poor outreach","simple convenient non-judgmental communal fun"
"4610","Half of its community","The other half of the community",""
"4611","map and hashreferences","embedding into environments that make debugging hard (i. e. apache)","swiss utility knife"
"4612","","",""
"4613","its a great startup to web programming","the front end design","good web programming language"
"4614","","",""
"4615","","",""
"4616","","",""
"4617","whippitupitude","chromatic","a riddle, wrapped in mystery, on a sesame seed bun"
"4618","simplicify flexibility speed","the $ sign",""
"4619","","",""
"4620","","",""
"4621","","",""
"4622","CPAN.  I love Perl, I know it well and can quickly solve my problems with it.[CR]","When I last interviewed at Twitter's ops team people there looked at me like I was dinosaur for still using Perl and not Python.  Other people think that my Perl code will be an unmaintainable mess, littered with cute perlisms that kill readability.  I ended up not accepting a job there, but not because of Perl.","powerful fast ubiquitous fun "
